"GISJOIN","GISJOIN_T","COUNTY_CODE","STATEA","COUNTYA","TRACTA","BLOCKA","ET2001","ET2002","ET2003","ET2004","ET2005","ET2006","ET2007","ET2008","ET2009","ET2010"
"G11000100001101","G11000100001",11001,11,1,1,"101",244,13,0,7,0,27,0,0,0,0
"G11000100001102","G11000100001",11001,11,1,1,"102",22,0,0,13,0,0,0,0,0,0
"G11000100001103","G11000100001",11001,11,1,1,"103",34,0,0,0,0,1,0,0,0,0
"G11000100001104","G11000100001",11001,11,1,1,"104",96,0,0,0,0,4,0,0,0,0
"G11000100001105","G11000100001",11001,11,1,1,"105",39,0,0,1,0,3,1,0,0,0
"G11000100001106","G11000100001",11001,11,1,1,"106",84,1,0,5,0,3,0,0,0,0
"G11000100001107","G11000100001",11001,11,1,1,"107",93,1,0,1,0,15,0,0,0,0
"G11000100001108","G11000100001",11001,11,1,1,"108",163,0,0,9,0,11,1,0,0,0
"G11000100001109","G11000100001",11001,11,1,1,"109",124,1,0,3,0,1,0,0,0,0
"G11000100001110","G11000100001",11001,11,1,1,"110",93,0,0,3,0,12,0,0,0,0
"G11000100001111","G11000100001",11001,11,1,1,"111",105,4,0,5,0,5,0,0,0,1
"G11000100001112","G11000100001",11001,11,1,1,"112",46,0,0,1,0,0,0,0,0,5
"G11000100001201","G11000100001",11001,11,1,1,"201",541,29,1,18,2,12,0,0,2,1
"G11000100001202","G11000100001",11001,11,1,1,"202",270,29,0,7,0,17,0,0,0,16
"G11000100001203","G11000100001",11001,11,1,1,"203",48,1,0,0,0,1,0,0,0,0
"G11000100001204","G11000100001",11001,11,1,1,"204",71,12,0,1,0,3,2,0,0,1
"G11000100001205","G11000100001",11001,11,1,1,"205",58,0,1,1,0,1,0,0,0,0
"G11000100001207","G11000100001",11001,11,1,1,"207",75,2,0,0,0,0,0,0,0,1
"G11000100001208","G11000100001",11001,11,1,1,"208",50,0,0,0,0,0,0,0,0,0
"G11000100001209","G11000100001",11001,11,1,1,"209",31,1,0,0,0,1,0,0,0,0
"G11000100001303","G11000100001",11001,11,1,1,"303",13,0,0,0,0,0,0,0,0,0
"G11000100001304","G11000100001",11001,11,1,1,"304",12,0,0,5,0,0,0,0,0,0
"G11000100001307","G11000100001",11001,11,1,1,"307",16,0,0,0,0,0,0,0,0,0
"G11000100001308","G11000100001",11001,11,1,1,"308",41,1,0,6,0,5,0,0,0,0
"G11000100001309","G11000100001",11001,11,1,1,"309",4,0,0,0,0,0,0,0,0,0
"G11000100001310","G11000100001",11001,11,1,1,"310",112,0,0,4,0,5,0,0,0,0
"G11000100001312","G11000100001",11001,11,1,1,"312",30,0,0,4,0,0,0,0,0,0
"G11000100001401","G11000100001",11001,11,1,1,"401",50,2,0,1,0,5,0,0,0,1
"G11000100001402","G11000100001",11001,11,1,1,"402",76,1,0,1,0,2,0,0,0,0
"G11000100001403","G11000100001",11001,11,1,1,"403",56,5,0,1,0,1,0,0,0,0
"G11000100001404","G11000100001",11001,11,1,1,"404",60,1,0,2,0,0,0,0,0,0
"G11000100001405","G11000100001",11001,11,1,1,"405",32,1,0,1,0,1,0,0,0,0
"G11000100001406","G11000100001",11001,11,1,1,"406",42,2,0,1,0,1,0,0,0,1
"G11000100001407","G11000100001",11001,11,1,1,"407",43,4,1,2,0,1,0,0,0,0
"G11000100001408","G11000100001",11001,11,1,1,"408",60,2,0,0,0,1,0,0,0,0
"G11000100001409","G11000100001",11001,11,1,1,"409",85,0,0,4,0,4,1,0,0,0
"G11000100001410","G11000100001",11001,11,1,1,"410",84,0,0,1,0,2,0,0,0,0
"G11000100001501","G11000100001",11001,11,1,1,"501",70,3,0,2,0,9,0,0,0,0
"G11000100001502","G11000100001",11001,11,1,1,"502",135,5,0,5,0,7,0,0,0,0
"G11000100001503","G11000100001",11001,11,1,1,"503",50,4,0,1,0,0,0,0,0,0
"G11000100001504","G11000100001",11001,11,1,1,"504",47,0,0,0,0,4,0,0,0,1
"G11000100001505","G11000100001",11001,11,1,1,"505",48,0,0,0,1,0,0,0,0,0
"G11000100001506","G11000100001",11001,11,1,1,"506",49,1,0,2,0,0,0,0,0,0
"G11000100001507","G11000100001",11001,11,1,1,"507",130,3,0,2,0,5,0,0,0,1
"G11000100001508","G11000100001",11001,11,1,1,"508",64,1,0,4,0,5,1,0,0,2
"G11000100001509","G11000100001",11001,11,1,1,"509",46,0,0,1,0,0,0,0,0,0
"G11000100001510","G11000100001",11001,11,1,1,"510",136,13,0,6,0,0,0,0,0,0
"G11000100001511","G11000100001",11001,11,1,1,"511",52,0,0,2,0,8,0,0,0,0
"G11000100001512","G11000100001",11001,11,1,1,"512",120,2,0,3,0,0,0,0,0,1
"G11000100001513","G11000100001",11001,11,1,1,"513",42,2,0,3,0,6,0,0,0,0
"G11000100001514","G11000100001",11001,11,1,1,"514",83,0,0,6,0,4,0,0,0,0
"G1100010000201101","G1100010000201",11001,11,1,201,"101",2860,371,7,315,17,201,16,1,2,46
"G1100010000202102","G1100010000202",11001,11,1,202,"102",122,4,2,21,1,9,0,0,0,2
"G1100010000202103","G1100010000202",11001,11,1,202,"103",37,0,0,0,0,2,0,0,0,0
"G1100010000202104","G1100010000202",11001,11,1,202,"104",51,0,0,2,0,1,0,0,0,1
"G1100010000202105","G1100010000202",11001,11,1,202,"105",102,0,0,3,0,6,0,0,0,0
"G1100010000202106","G1100010000202",11001,11,1,202,"106",66,5,0,1,0,4,0,0,0,1
"G1100010000202107","G1100010000202",11001,11,1,202,"107",297,4,0,6,0,16,0,0,0,2
"G1100010000202108","G1100010000202",11001,11,1,202,"108",108,0,0,1,0,10,0,0,0,0
"G1100010000202109","G1100010000202",11001,11,1,202,"109",24,0,1,5,0,0,0,0,0,0
"G1100010000202110","G1100010000202",11001,11,1,202,"110",106,0,0,1,0,3,0,0,0,0
"G1100010000202111","G1100010000202",11001,11,1,202,"111",79,1,0,0,0,3,0,0,0,0
"G1100010000202201","G1100010000202",11001,11,1,202,"201",63,1,0,1,0,5,0,0,0,0
"G1100010000202202","G1100010000202",11001,11,1,202,"202",23,0,0,1,0,1,0,0,0,0
"G1100010000202203","G1100010000202",11001,11,1,202,"203",64,1,0,1,0,2,0,0,0,2
"G1100010000202204","G1100010000202",11001,11,1,202,"204",50,0,0,1,0,2,0,0,0,0
"G1100010000202205","G1100010000202",11001,11,1,202,"205",114,1,0,0,2,5,0,0,0,1
"G1100010000202206","G1100010000202",11001,11,1,202,"206",76,2,0,3,0,2,0,0,0,0
"G1100010000202207","G1100010000202",11001,11,1,202,"207",75,0,1,5,0,3,0,0,0,0
"G1100010000202208","G1100010000202",11001,11,1,202,"208",95,2,0,3,0,6,1,0,1,0
"G1100010000202209","G1100010000202",11001,11,1,202,"209",107,2,0,4,0,1,0,0,0,1
"G1100010000202301","G1100010000202",11001,11,1,202,"301",92,0,0,1,0,5,0,0,1,3
"G1100010000202302","G1100010000202",11001,11,1,202,"302",53,0,0,0,0,0,0,0,0,0
"G1100010000202303","G1100010000202",11001,11,1,202,"303",55,0,0,2,0,6,0,0,1,1
"G1100010000202304","G1100010000202",11001,11,1,202,"304",78,2,0,7,0,7,0,1,1,0
"G1100010000202305","G1100010000202",11001,11,1,202,"305",11,2,0,0,0,1,0,0,0,0
"G1100010000202306","G1100010000202",11001,11,1,202,"306",44,1,0,5,0,1,0,0,0,0
