"GISJOIN","GISJOIN_T","COUNTY_CODE","STATEA","COUNTYA","TRACTA","BLOCKA","U7C001","U7C002","U7C003","U7C004","U7C005","U7C006","U7C007","U7C008","U7C009","U7C010","U7C011","U7C012","U7C013","U7C014","U7C015","U7C016","U7C017","U7C018","U7C019","U7C020","U7C021","U7C022","U7C023","U7C024","U7C025","U7C026","U7C027","U7C028","U7C029","U7C030","U7C031","U7C032","U7C033","U7C034","U7C035","U7C036","U7C037","U7C038","U7C039","U7C040","U7C041","U7C042","U7C043","U7C044","U7C045","U7C046","U7C047","U7C048","U7C049","U7C050","U7C051","U7C052","U7C053","U7C054","U7C055","U7C056","U7C057","U7C058","U7C059","U7C060","U7C061","U7C062","U7C063","U7C064","U7C065","U7C066","U7C067","U7C068","U7C069","U7C070","U7C071","U7C072","U7C073"
"G11000100001011000","G1100010000101",11001,11,1,101,1000,607,66,541,528,459,24,0,42,0,3,13,12,1,0,5,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001011001","G1100010000101",11001,11,1,101,1001,282,22,260,248,205,18,0,25,0,0,12,10,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001011002","G1100010000101",11001,11,1,101,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001011003","G1100010000101",11001,11,1,101,1003,85,12,73,68,58,0,2,8,0,0,5,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001011004","G1100010000101",11001,11,1,101,1004,56,7,49,44,40,2,0,1,1,0,5,5,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001011005","G1100010000101",11001,11,1,101,1005,89,6,83,80,74,0,0,6,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001011006","G1100010000101",11001,11,1,101,1006,92,10,82,75,73,2,0,0,0,0,7,7,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001011007","G1100010000101",11001,11,1,101,1007,91,9,82,67,64,0,0,3,0,0,15,14,8,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001011008","G1100010000101",11001,11,1,101,1008,53,1,52,47,42,0,0,5,0,0,5,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100001011009","G1100010000101",11001,11,1,101,1009,51,7,44,42,39,1,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
