"GISJOIN","GISJOIN_T","WHITE","BLACK","AM","ASIAN","OTHER","HISPANIC","POP"
"G11000100001101","G11000100001",244,13,0,7,7,27,298
"G11000100001102","G11000100001",22,0,0,13,13,0,48
"G11000100001103","G11000100001",34,0,0,0,0,1,35
"G11000100001104","G11000100001",96,0,0,0,0,4,100
"G11000100001105","G11000100001",39,0,0,1,1,4,45
"G11000100001106","G11000100001",84,1,0,5,5,3,98
"G11000100001107","G11000100001",93,1,0,1,1,15,111
"G11000100001108","G11000100001",163,0,0,9,9,12,193
"G11000100001109","G11000100001",124,1,0,3,3,1,132
"G11000100001110","G11000100001",93,0,0,3,3,12,111
"G11000100001111","G11000100001",105,4,0,5,5,6,125
"G11000100001112","G11000100001",46,0,0,1,1,5,53
"G11000100001201","G11000100001",541,29,1,18,18,15,622
"G11000100001202","G11000100001",270,29,0,7,7,33,346
"G11000100001203","G11000100001",48,1,0,0,0,1,50
"G11000100001204","G11000100001",71,12,0,1,1,6,91
"G11000100001205","G11000100001",58,0,1,1,1,1,62
"G11000100001207","G11000100001",75,2,0,0,0,1,78
"G11000100001208","G11000100001",50,0,0,0,0,0,50
"G11000100001209","G11000100001",31,1,0,0,0,1,33
"G11000100001303","G11000100001",13,0,0,0,0,0,13
"G11000100001304","G11000100001",12,0,0,5,5,0,22
"G11000100001307","G11000100001",16,0,0,0,0,0,16
"G11000100001308","G11000100001",41,1,0,6,6,5,59
"G11000100001309","G11000100001",4,0,0,0,0,0,4
"G11000100001310","G11000100001",112,0,0,4,4,5,125
"G11000100001312","G11000100001",30,0,0,4,4,0,38
"G11000100001401","G11000100001",50,2,0,1,1,6,60
"G11000100001402","G11000100001",76,1,0,1,1,2,81
"G11000100001403","G11000100001",56,5,0,1,1,1,64
"G11000100001404","G11000100001",60,1,0,2,2,0,65
"G11000100001405","G11000100001",32,1,0,1,1,1,36
"G11000100001406","G11000100001",42,2,0,1,1,2,48
"G11000100001407","G11000100001",43,4,1,2,2,1,53
"G11000100001408","G11000100001",60,2,0,0,0,1,63
"G11000100001409","G11000100001",85,0,0,4,4,5,98
"G11000100001410","G11000100001",84,0,0,1,1,2,88
"G11000100001501","G11000100001",70,3,0,2,2,9,86
"G11000100001502","G11000100001",135,5,0,5,5,7,157
"G11000100001503","G11000100001",50,4,0,1,1,0,56
"G11000100001504","G11000100001",47,0,0,0,0,5,52
"G11000100001505","G11000100001",48,0,0,0,0,0,48
"G11000100001506","G11000100001",49,1,0,2,2,0,54
"G11000100001507","G11000100001",130,3,0,2,2,6,143
"G11000100001508","G11000100001",64,1,0,4,4,8,81
"G11000100001509","G11000100001",46,0,0,1,1,0,48
"G11000100001510","G11000100001",136,13,0,6,6,0,161
"G11000100001511","G11000100001",52,0,0,2,2,8,64
"G11000100001512","G11000100001",120,2,0,3,3,1,129
"G11000100001513","G11000100001",42,2,0,3,3,6,56
"G11000100001514","G11000100001",83,0,0,6,6,4,99
"G1100010000201101","G1100010000201",2860,371,7,315,315,266,4134
"G1100010000202102","G1100010000202",122,4,2,21,21,11,181
"G1100010000202103","G1100010000202",37,0,0,0,0,2,39
"G1100010000202104","G1100010000202",51,0,0,2,2,2,57
"G1100010000202105","G1100010000202",102,0,0,3,3,6,114
"G1100010000202106","G1100010000202",66,5,0,1,1,5,78
"G1100010000202107","G1100010000202",297,4,0,6,6,18,331
"G1100010000202108","G1100010000202",108,0,0,1,1,10,120
"G1100010000202109","G1100010000202",24,0,1,5,5,0,35
"G1100010000202110","G1100010000202",106,0,0,1,1,3,111
"G1100010000202111","G1100010000202",79,1,0,0,0,3,83
"G1100010000202201","G1100010000202",63,1,0,1,1,5,71
"G1100010000202202","G1100010000202",23,0,0,1,1,1,26
"G1100010000202203","G1100010000202",64,1,0,1,1,4,71
"G1100010000202204","G1100010000202",50,0,0,1,1,2,54
"G1100010000202205","G1100010000202",114,1,0,0,0,6,121
"G1100010000202206","G1100010000202",76,2,0,3,3,2,86
"G1100010000202207","G1100010000202",75,0,1,5,5,3,89
"G1100010000202208","G1100010000202",95,2,0,3,3,8,111
"G1100010000202209","G1100010000202",107,2,0,4,4,2,119
"G1100010000202301","G1100010000202",92,0,0,1,1,9,103
"G1100010000202302","G1100010000202",53,0,0,0,0,0,53
"G1100010000202303","G1100010000202",55,0,0,2,2,8,67
"G1100010000202304","G1100010000202",78,2,0,7,7,9,103
"G1100010000202305","G1100010000202",11,2,0,0,0,1,14
"G1100010000202306","G1100010000202",44,1,0,5,5,1,56
"G1100010000202401","G1100010000202",105,4,0,2,2,12,125
"G1100010000202402","G1100010000202",2,0,0,0,0,0,2
"G1100010000202403","G1100010000202",2,1,0,0,0,0,3
"G1100010000202405","G1100010000202",57,2,0,1,1,2,63
"G1100010000202406","G1100010000202",150,6,0,21,21,0,198
"G1100010000202407","G1100010000202",12,1,0,0,0,6,19
"G1100010000202408","G1100010000202",60,2,0,0,0,6,68
"G1100010000202501","G1100010000202",83,2,0,0,0,8,93
"G1100010000202502","G1100010000202",89,0,0,0,0,1,90
"G1100010000202503","G1100010000202",102,1,0,0,0,5,108
"G1100010000202504","G1100010000202",78,3,0,2,2,5,90
"G1100010000202505","G1100010000202",95,0,0,2,2,5,104
"G1100010000202506","G1100010000202",65,0,0,0,0,1,66
"G1100010000202507","G1100010000202",32,0,0,0,0,0,32
"G1100010000202601","G1100010000202",83,5,0,3,3,1,95
"G1100010000202602","G1100010000202",59,2,0,3,3,2,69
"G1100010000202603","G1100010000202",16,1,0,0,0,0,17
"G1100010000202604","G1100010000202",75,0,0,2,2,3,82
"G1100010000202605","G1100010000202",3,0,0,1,1,0,5
"G1100010000202606","G1100010000202",66,2,1,3,3,1,76
"G1100010000202607","G1100010000202",7,0,0,2,2,0,11
"G1100010000202609","G1100010000202",34,0,1,5,5,2,47
"G1100010000310101","G1100010000310",207,3,0,5,5,14,234
"G1100010000310102","G1100010000310",58,1,0,2,2,17,80
"G1100010000310103","G1100010000310",150,5,0,3,3,8,169
"G1100010000310107","G1100010000310",212,7,0,8,8,6,241
"G1100010000310108","G1100010000310",87,2,0,4,4,4,101
"G1100010000310201","G1100010000310",147,3,0,10,10,4,174
"G1100010000310202","G1100010000310",124,4,0,6,6,5,145
"G1100010000310203","G1100010000310",92,4,0,6,6,3,111
"G1100010000310204","G1100010000310",108,1,0,6,6,2,123
"G1100010000310206","G1100010000310",37,0,0,1,1,0,39
"G1100010000310301","G1100010000310",812,24,3,32,32,36,939
"G1100010000310303","G1100010000310",105,1,0,3,3,1,113
"G1100010000310304","G1100010000310",87,0,0,1,1,6,95
"G1100010000310305","G1100010000310",81,7,0,2,2,10,102
"G1100010000310306","G1100010000310",119,1,0,4,4,3,131
"G1100010000310401","G1100010000310",113,1,0,14,14,6,148
"G1100010000310402","G1100010000310",199,2,0,13,13,3,230
"G1100010000310403","G1100010000310",175,1,0,5,5,9,195
"G1100010000310404","G1100010000310",108,4,0,2,2,3,119
"G1100010000310405","G1100010000310",85,3,0,1,1,5,95
"G1100010000310406","G1100010000310",91,4,0,3,3,1,102
"G1100010000310407","G1100010000310",168,1,1,6,6,7,189
"G1100010000310408","G1100010000310",119,6,0,3,3,3,134
"G1100010000310409","G1100010000310",0,0,0,0,0,0,0
"G1100010000310410","G1100010000310",106,2,0,5,5,3,121
"G1100010000310411","G1100010000310",111,3,0,2,2,6,124
"G1100010000310412","G1100010000310",107,1,0,1,1,4,114
"G1100010000310508","G1100010000310",521,46,1,43,43,49,703
"G1100010000310509","G1100010000310",110,19,0,6,6,27,168
"G1100010000310510","G1100010000310",48,8,0,2,2,2,62
"G1100010000310511","G1100010000310",183,10,2,2,2,15,214
"G1100010000310512","G1100010000310",136,4,1,3,3,8,155
"G1100010000310513","G1100010000310",116,8,0,4,4,9,141
"G1100010000310514","G1100010000310",124,0,0,0,0,5,129
"G11000100004101","G11000100004",5,0,0,0,0,0,5
"G11000100004102","G11000100004",39,0,2,1,1,3,46
"G11000100004103","G11000100004",38,2,0,2,2,4,48
"G11000100004104","G11000100004",9,0,0,7,7,0,23
"G11000100004105","G11000100004",53,0,0,1,1,3,58
"G11000100004106","G11000100004",39,4,1,0,0,1,45
"G11000100004108","G11000100004",16,0,0,0,0,1,17
"G11000100004109","G11000100004",42,0,0,1,1,5,49
"G11000100004110","G11000100004",27,0,0,0,0,1,28
"G11000100004111","G11000100004",37,3,1,2,2,0,45
"G11000100004112","G11000100004",42,0,0,0,0,3,45
"G11000100004115","G11000100004",53,1,0,5,5,5,69
"G11000100004116","G11000100004",20,1,0,0,0,2,23
"G11000100004117","G11000100004",24,0,0,0,0,1,25
"G11000100004118","G11000100004",56,0,0,5,5,2,68
"G11000100004120","G11000100004",16,0,0,0,0,0,16
"G11000100004121","G11000100004",36,1,1,3,3,0,44
"G11000100004201","G11000100004",17,0,0,0,0,0,17
"G11000100004202","G11000100004",10,4,0,4,4,1,23
"G11000100004203","G11000100004",2,0,0,5,5,0,12
"G11000100004204","G11000100004",10,0,0,3,3,21,37
"G11000100004205","G11000100004",5,10,0,2,2,5,24
"G11000100004206","G11000100004",24,6,0,3,3,6,42
"G11000100004207","G11000100004",21,0,0,0,0,3,24
"G11000100004209","G11000100004",8,0,0,1,1,0,10
"G11000100004210","G11000100004",24,6,0,6,6,0,42
"G11000100004211","G11000100004",35,0,0,0,0,0,35
"G11000100004212","G11000100004",81,0,0,4,4,7,96
"G11000100004213","G11000100004",15,1,0,3,3,2,24
"G11000100004214","G11000100004",24,1,0,0,0,0,25
"G11000100004215","G11000100004",111,4,0,4,4,3,126
"G11000100004216","G11000100004",36,0,0,3,3,15,57
"G11000100004217","G11000100004",1,0,0,1,1,0,3
"G11000100004218","G11000100004",1,0,0,0,0,7,8
"G11000100004219","G11000100004",86,4,0,12,12,12,126
"G11000100004221","G11000100004",10,0,0,0,0,1,11
"G1100010000501101","G1100010000501",20,4,0,0,0,0,24
"G1100010000501102","G1100010000501",341,22,0,18,18,34,433
"G1100010000501103","G1100010000501",383,29,1,16,16,39,484
"G1100010000501104","G1100010000501",201,2,0,12,12,6,233
"G1100010000501105","G1100010000501",81,2,0,7,7,10,107
"G1100010000501106","G1100010000501",226,12,0,7,7,18,270
"G1100010000501203","G1100010000501",2,5,0,0,0,6,13
"G1100010000501204","G1100010000501",7,0,0,0,0,0,7
"G1100010000501302","G1100010000501",1071,67,0,47,47,70,1302
"G1100010000502304","G1100010000502",166,4,0,5,5,11,191
"G1100010000502309","G1100010000502",22,1,0,0,0,2,25
"G1100010000502313","G1100010000502",174,0,0,10,10,0,194
"G1100010000502314","G1100010000502",254,5,0,13,13,35,320
"G1100010000502315","G1100010000502",220,18,1,18,18,30,305
"G1100010000502316","G1100010000502",257,22,2,10,10,121,422
"G1100010000502320","G1100010000502",2,0,0,0,0,0,2
"G1100010000502321","G1100010000502",119,0,0,2,2,7,130
"G1100010000502401","G1100010000502",602,24,0,28,28,43,725
"G1100010000502402","G1100010000502",219,8,0,8,8,6,249
"G1100010000502403","G1100010000502",135,9,1,6,6,37,194
"G1100010000502404","G1100010000502",62,6,0,0,0,2,70
"G1100010000502405","G1100010000502",141,0,0,14,14,2,171
"G1100010000502406","G1100010000502",46,0,0,2,2,1,51
"G1100010000502410","G1100010000502",424,15,1,7,7,36,490
"G1100010000502501","G1100010000502",83,0,0,1,1,1,86
"G1100010000502502","G1100010000502",112,4,0,3,3,5,127
"G1100010000502503","G1100010000502",15,0,0,1,1,0,17
"G1100010000502504","G1100010000502",75,4,0,1,1,1,82
"G1100010000502505","G1100010000502",38,0,0,3,3,4,48
"G1100010000502506","G1100010000502",39,0,0,0,0,6,45
"G11000100006101","G11000100006",290,3,0,2,2,4,301
"G11000100006102","G11000100006",156,7,0,5,5,9,182
"G11000100006104","G11000100006",77,4,0,4,4,7,96
"G11000100006105","G11000100006",39,0,0,0,0,0,39
"G11000100006106","G11000100006",366,28,1,14,14,133,556
"G11000100006201","G11000100006",135,10,0,27,27,56,255
"G11000100006202","G11000100006",85,7,0,7,7,42,148
"G11000100006203","G11000100006",86,2,0,1,1,6,96
"G11000100006204","G11000100006",49,2,0,0,0,3,54
"G11000100006205","G11000100006",39,0,0,1,1,0,41
"G11000100006206","G11000100006",258,12,0,3,3,8,284
"G11000100006207","G11000100006",163,6,0,7,7,6,189
