"GISJOIN_T","WHITE","BLACK","AM","ASIAN","OTHER","HISPANIC","POP"
"G11000100001",4175,147,3,145,145,233,4848
"G1100010000201",2860,371,7,315,315,266,4134
"G1100010000202",3267,60,6,121,121,181,3756
"G1100010000310",5046,186,8,208,208,284,5940
"G11000100004",1073,48,5,78,78,114,1396
"G1100010000501",2332,143,1,107,107,183,2873
"G1100010000502",3205,120,5,132,132,350,3944
"G11000100006",3954,408,5,157,157,428,5109
"G1100010000701",3658,204,6,174,174,535,4751
"G1100010000720",2569,187,2,229,229,322,3538
"G1100010000801",5205,207,4,189,189,319,6113
"G1100010000802",2308,102,7,110,110,163,2800
"G1100010000901",5779,285,7,341,341,416,7169
"G1100010000902",1732,91,0,64,64,68,2019
"G1100010001001",5452,258,2,246,246,356,6560
"G1100010001002",2701,263,6,250,250,304,3774
"G11000100011",3868,161,5,185,185,189,4593
"G11000100012",3936,261,9,213,213,401,5033
"G1100010001301",3139,266,5,128,128,152,3818
"G1100010001302",4838,419,11,271,271,419,6229
"G1100010001401",2607,152,4,148,148,160,3219
"G1100010001402",2289,313,2,105,105,151,2965
"G11000100015",4694,596,9,118,118,140,5675
"G11000100016",1144,3185,8,57,57,76,4527
"G1100010001701",317,2473,7,66,66,119,3048
"G1100010001702",489,1978,14,32,32,88,2633
"G1100010001801",358,313,6,15,15,71,778
"G1100010001803",211,2318,9,18,18,185,2759
"G1100010001804",106,3616,21,15,15,462,4235
"G1100010001901",111,4109,11,18,18,133,4400
"G1100010001902",123,2335,8,7,7,31,2511
"G1100010002001",439,1689,13,45,45,229,2460
"G1100010002002",387,3369,10,34,34,179,4013
"G1100010002101",56,4985,13,34,34,189,5311
"G1100010002102",76,4827,14,23,23,143,5106
"G1100010002201",58,3387,9,9,9,183,3655
"G1100010002202",54,3104,9,3,3,126,3299
"G1100010002301",59,3193,2,7,7,80,3348
"G1100010002302",2482,1753,9,42,42,130,4458
"G11000100024",113,3539,2,19,19,205,3897
"G1100010002501",212,1918,4,8,8,242,2392
"G1100010002502",137,3958,6,21,21,705,4848
"G11000100026",693,1499,4,42,42,50,2330
"G1100010002701",1664,1957,6,264,264,1031,5186
"G1100010002702",2212,1910,14,110,110,1971,6327
"G1100010002801",147,2143,5,83,83,1032,3493
"G1100010002802",325,1935,10,225,225,2256,4976
"G11000100029",93,3361,6,14,14,609,4097
"G11000100030",153,2154,9,7,7,316,2646
"G11000100031",42,2505,5,8,8,347,2915
"G11000100032",58,4449,12,13,13,320,4865
"G1100010003301",203,2825,6,15,15,52,3116
"G1100010003302",96,1849,1,7,7,38,1998
"G11000100034",89,4341,18,26,26,104,4604
"G11000100035",42,2018,4,4,4,151,2223
"G11000100036",214,3620,10,16,16,406,4282
"G11000100037",240,3915,13,56,56,1192,5472
"G11000100038",1302,2165,10,81,81,932,4571
"G11000100039",2063,1397,14,150,150,947,4721
"G1100010004001",2451,171,9,78,78,312,3099
"G1100010004002",1888,609,13,108,108,391,3117
"G11000100041",2318,119,6,142,142,208,2935
"G1100010004201",2074,920,8,95,95,549,3741
"G1100010004202",1840,305,13,130,130,312,2730
"G11000100043",963,1770,10,43,43,488,3317
"G11000100044",239,1192,0,19,19,294,1763
"G11000100045",79,1064,5,15,15,39,1217
"G11000100046",143,3298,8,27,27,139,3642
"G11000100047",164,4252,23,81,81,33,4634
"G1100010004801",130,1900,1,40,40,82,2193
"G1100010004802",220,2658,1,132,132,78,3221
"G1100010004901",190,1714,7,14,14,68,2007
"G1100010004902",174,972,6,16,16,402,1586
"G11000100050",1374,3818,20,209,209,1014,6644
"G11000100051",557,298,3,62,62,75,1057
"G1100010005210",2209,1673,12,183,183,392,4652
"G1100010005220",296,171,1,92,92,179,831
"G1100010005301",3245,571,9,265,265,972,5327
"G1100010005302",150,17,0,7,7,10,191
"G1100010005401",840,80,5,80,80,81,1166
"G1100010005402",2,0,0,0,0,0,2
"G1100010005501",2142,277,8,159,159,155,2900
"G1100010005502",1177,37,4,33,33,75,1359
"G11000100056",3859,243,10,265,265,279,4921
"G1100010005701",4285,249,9,423,423,182,5571
"G1100010005702",8,6,0,0,0,2,16
"G11000100058",67,154,3,519,519,44,1306
"G11000100059",204,1637,8,39,39,67,1994
"G1100010006001",884,998,9,54,54,116,2115
"G1100010006020",5,771,0,0,0,15,791
"G11000100061",999,881,5,87,87,82,2141
"G1100010006201",47,0,0,1,1,3,52
"G1100010006202",32,17,0,0,0,6,55
"G1100010006301",1813,1724,14,54,54,105,3764
"G1100010006302",266,55,1,5,5,23,355
"G1100010006410",44,2419,10,8,8,35,2524
"G1100010006510",2042,239,3,54,54,56,2448
"G11000100066",1583,109,8,39,39,52,1830
"G1100010006710",2315,1041,9,48,48,64,3525
"G1100010006801",161,2199,1,10,10,47,2428
"G1100010006802",287,2010,4,20,20,33,2374
